Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
194,311892,Specialty Chemicals,1802.381454,483.1071703,2113.789724,2963
195,1.18E+07,Industrial Conglomerates,NULL,1379.094243,11426.65623,64294
196,4360000,Industrial Conglomerates,15085.64054,7810.636356,18658.88102,NULL
197,16631,Diversified Banks,NULL,485.2701403,3892.06447,NULL
198,66069.42,Diversified Banks,NULL,2068.856132,41368.52131,96889
199,8330,Oil & Gas Equipment & Services,508.8870382,120.2783344,685.8009025,4700
200,8230336,Cement Manufacturers,2313.631785,3799.088496,2790.666601,2932
201,2371131.495,Paper & Related Products,4068.899101,11415.38063,6152.522973,17472
202,301746,Industrial Conglomerates,19349.99274,14722.67283,23505.60148,NULL
203,14591.78,Diversified Banks,NULL,428.8636061,5388.597597,34024
204,72643.46,Diversified Banks,NULL,900.4771745,10104.80615,30548
205,3358000,Cement Manufacturers,639.3875362,1030.652673,865.1785331,2729
206,252729.66,Industrial Conglomerates,1039.93409,1319.905992,1446.970162,129000
207,705400.95,Paper & Related Products,1541.037221,4534.764915,2696.468874,NULL
208,54977,Diversified Banks,NULL,1965.72579,52609.41226,100335
209,620789.58,Auto Parts,2233.858918,914.8418374,2588.743762,15000
210,617168,Automobiles,53370.97516,16506.49907,68423.49799,91674
211,3787,Diversified Banks,NULL,443.2802829,840.6754317,3678
212,11459,Diversified Banks,NULL,909.3437612,2802.159819,11876
213,3812,Capital Markets,34.6,24.1,1067.2,925
214,33378.5,Diversified Banks,NULL,1166.414613,2819.027792,12616
215,502063,Waste & Disposal Services,838.5828145,80.36827654,796.5907336,2613
216,217039,Industrial Conglomerates,2838.133894,949.812574,3253.758602,16365
217,90133,Industrial Conglomerates,1018.5,566.2,1361.6,8305
218,177.2,Capital Markets,8.007374603,0.975205007,52.06711357,71
219,3550000,Paper & Related Products,9055.303938,6572.342139,12109.92438,26129
220,7645,Health Care  Services,1577.602113,355.8077708,2721.704252,10515
221,930000,Specialty Chemicals,4679,2081,6623,17901
222,27651,Auto Parts,433.3873765,84.78583905,576.3860692,2309
223,580512,Auto Parts,2243.826016,1202.725908,3048.85882,10634
224,1335000,Industrial Conglomerates,3671.331505,3291.239558,6846.7773,26147
225,17.8,Capital Markets,NULL,1.238571354,-922.1726718,NULL
226,26,Capital Markets,NULL,6.080259374,-1493.604456,NULL
227,47733,Waste & Disposal Services,758.9779044,181.0829815,926.4334676,8600
228,82036,Hotels,1089.309987,1891.344759,1863.24687,11055
229,60440,Diversified Banks,NULL,919.9177087,4242.101953,41128
230,382663,Industrial Conglomerates,25432.68899,3315.158205,26590.09565,81003
231,477579,Paper & Related Products,1960.269469,869.8450359,2245.174899,2352
232,11482.7002,Specialty Chemicals,349.3672835,119.7806219,491.2297501,1280
233,58954,Diversified Banks,0,1207.989787,1940.174801,13577
234,199070.32,Automobiles,6214.558484,868.1422191,6925.74062,10598
235,16,Capital Markets,1514.434974,178.5794698,2617.101271,NULL
236,18726,Specialty Chemicals,NULL,NULL,606.1902937,1804
237,2694.74,Automobiles,513.516418,130.2604398,516.0805034,1529
238,157014,Auto Parts,1582.987465,451.3308534,1875.237844,NULL
239,2215511,Oil & Gas Refining & Marketing,4221.085873,1631.75399,4487.412975,3503
240,4840413,Paper & Related Products,1880.689,2498.400431,2538.358295,6054
241,2984,Diversified Banks,NULL,178.9679702,702.8560285,2098
242,89071,Diversified Banks,NULL,4127.910147,14865.51593,24570
243,10922.47,Software,1394.962585,106.5941275,1847.208092,15190
244,4297000,Oil & Gas Refining & Marketing,8012.076281,3776.501782,8493.876879,NULL
245,1221006,Oil & Gas Exploration & Production,1020.737966,5040.294573,1905.560325,990
246,655,Capital Markets,NULL,175.5,1433.8,1430
247,1.59E+07,Cement Manufacturers,2667.145596,2085.734106,2982.400904,8844
248,2044,Regional Banks,NULL,445,1142.6,1896
249,21406.59,Diversified Banks,NULL,689.0317274,8805.434484,18448
250,5775,Specialty Chemicals,180.5010144,35.9660733,246.0094861,540
251,1876000,Oil & Gas Exploration & Production,224.1875935,373.6105347,272.6450155,502
252,43252,Hotels,1889.609497,679.5252838,2027.541307,18907
253,184841,Hotels,1263.307866,2144.356257,2114.923343,NULL
254,8106,Software,994.6609795,184.1715739,2124.887104,15985
255,5860329,Cement Manufacturers,282.6326346,175.2759843,356.8900285,1094
256,14869.2,Oil & Gas Equipment & Services,317.1354297,167.112568,485.2862222,1646
257,112044,Auto Parts,1164.96493,688.6929208,1294.011991,7337
258,452856.01,Auto Parts,NULL,NULL,NULL,9962
259,125139,Auto Parts,1993.782867,1146.750814,2274.646858,8660
260,399251,Hotels,241.3849249,429.6398904,334.4399941,7413
261,34860,Auto Parts,1571.405779,666.44803,1899.660285,8946
262,1.34E+07,Coal,4099.99369,7023.928536,5622.091715,6280
263,25148,Industrial Conglomerates,1089.118911,45.47775626,1153.301229,8733
